512,512
0,0,(56631384+0j)
0,1,(-1030622.9818197202-424091.9812715731j)
0,2,(-70102.53099633-3171.0856595003097j)
0,3,(-202975.59275692527-345291.5039071503j)
0,4,(-192804.9443013886-501527.94028661575j)
0,5,(312979.42793361715-438105.63700819516j)
0,6,(665095.7627468352-69207.95885701984j)
0,7,(20882.996657299554+55043.720396287965j)
0,8,(-286562.9734222806-67480.09354484151j)
0,9,(22406.51610683837-177331.50176755147j)
0,10,(157069.97296784705-212062.99153536095j)
0,11,(23114.159405429087-121557.3797252379j)
0,12,(62990.445393148315+142249.58550473122j)
0,13,(-53362.652554693486+52254.953014296974j)
0,14,(21296.78046696386-152200.74647424364j)
0,15,(-21240.396936055244-28672.23910378744j)
0,16,(-76565.64411632816-113739.97164368178j)
0,17,(3658.5068545930344-19667.990091501157j)
0,18,(79486.12902474124-163266.74593908497j)
0,19,(-4753.3932767955175-91339.83088048712j)
0,20,(-8394.38151296073+11379.754357329266j)
0,21,(5606.479873734939+23110.26694547477j)
0,22,(-39591.74575637629-57793.80610811479j)
0,23,(15273.036288271374-51581.01753537538j)
0,24,(88353.93274170237-23454.838958699867j)
0,25,(91564.91561494232+36168.126803515785j)
0,26,(251675.47505384765-23262.51678043988j)
0,27,(1245.2713806214235+3671.5645638247847j)
0,28,(-25368.100011499613-29098.780603273473j)
0,29,(15373.148351326457-46215.3729956644j)
0,30,(6342.2401813901015-6250.398384550349j)
0,31,(-25102.200266755455+20798.16265959315j)
0,32,(-11642.900792412918-17856.2415109129j)
0,33,(53811.00068731449-115973.76585522312j)
0,34,(-8123.783922626859+1261.1184681157213j)
0,35,(-4040.650194718676+10116.176237351176j)
0,36,(18107.32722345191-20162.329017127184j)
0,37,(-20895.58604260334-43135.72129777177j)
0,38,(21596.692104987203-46043.056306639104j)
0,39,(21341.79917200433+38157.5787667347j)
0,40,(-919.089424847295+23207.166903150974j)
0,41,(-55181.46878794634-63629.456963888544j)
0,42,(6730.235322321039-23731.141678539057j)
0,43,(8197.72133907317-2969.001571057013j)
0,44,(10697.117437496992-11999.683934283836j)
0,45,(-18564.16746565141-13433.752139767013j)
0,46,(-17679.784058022742-24428.37176972269j)
0,47,(-14490.070486349692+82377.49723395356j)
0,48,(61196.48309670143-70228.36486785518j)
0,49,(-802.5304387402052-12646.364654448867j)
0,50,(7642.351434457709-20021.45403246792j)
0,59,(640403.4900100136+766255.5126442134j)
0,74,(62566.39223536702-23658.927358133522j)
0,75,(48319.415197551876+12646.031777312444j)
0,85,(74279.26826407248+145683.71332731342j)
0,97,(27215.84664300435+238.91819812149936j)
0,103,(27335.175997165483-17012.321989674998j)
0,104,(121349.9556964437+19215.753866391624j)
0,105,(31916.231001753014+7763.731754141453j)
0,132,(122230.88145300417-70135.51088418755j)
0,133,(27729.368119954554-21162.195985429662j)
0,135,(32366.215995352057-11000.133073470995j)
0,178,(107372.37088592388-5354.176895197372j)
0,179,(38835.431940781345+21270.64564162126j)
0,180,(34684.06649474728-7808.635582029112j)
0,182,(28005.081646516475+17734.524963022806j)
0,204,(54615.36829658164+5681.649999317448j)
0,242,(38013.8216950324+984.9105281666107j)
0,246,(32654.977933632028-39496.75881493385j)
0,249,(85615.36788997598-1204.0340537635402j)
0,250,(337830.7163940917+104915.36790016323j)
0,251,(65165.12960665689+38241.04082522663j)
0,261,(65165.1296066569-38241.04082522665j)
0,262,(337830.7163940917-104915.36790016323j)
0,263,(85615.36788997598+1204.0340537635675j)
0,266,(32654.977933632035+39496.75881493385j)
0,270,(38013.82169503241-984.9105281666073j)
0,308,(54615.368296581655-5681.64999931744j)
0,330,(28005.081646516464-17734.524963022803j)
0,332,(34684.06649474728+7808.6355820290955j)
0,333,(38835.43194078136-21270.645641621297j)
0,334,(107372.37088592388+5354.176895197369j)
0,377,(32366.215995352053+11000.13307347098j)
0,379,(27729.36811995456+21162.195985429647j)
0,380,(122230.88145300419+70135.51088418753j)
0,407,(31916.23100175301-7763.731754141563j)
0,408,(121349.95569644374-19215.753866391628j)
0,409,(27335.175997165486+17012.321989675027j)
0,415,(27215.846643004363-238.91819812150578j)
0,427,(74279.26826407248-145683.71332731337j)
0,437,(48319.41519755186-12646.03177731241j)
0,438,(62566.39223536702+23658.927358133522j)
0,453,(640403.4900100137-766255.5126442134j)
0,460,(9658.562363369314+21892.55357085784j)
0,461,(-5962.692235860699+21466.375110488578j)
0,462,(7642.3514344577015+20021.454032467915j)
0,463,(-802.5304387402289+12646.364654448822j)
0,464,(61196.483096701435+70228.36486785518j)
0,465,(-14490.070486349687-82377.49723395359j)
0,466,(-17679.78405802276+24428.371769722675j)
0,467,(-18564.1674656514+13433.752139767064j)
0,468,(10697.117437497001+11999.683934283847j)
0,469,(8197.721339073167+2969.001571057025j)
0,470,(6730.235322321044+23731.141678539054j)
0,471,(-55181.46878794631+63629.45696388862j)
0,472,(-919.0894248472941-23207.16690315098j)
0,473,(21341.799172004372-38157.57876673477j)
0,474,(21596.692104987203+46043.0563066391j)
0,475,(-20895.586042603347+43135.72129777171j)
0,476,(18107.327223451906+20162.32901712718j)
0,477,(-4040.650194718675-10116.17623735113j)
